CodProvincia;Provincia;CodCCAA;CCAA;Zona;Poblacion;Superficie
0;Total Nacional;0;Total Nacional;Total;47332614;505990
1;Álava;16;País Vasco;Norte;329873;3037
2;Albacete;8;Castilla-La Mancha;Centro;389874;14924
3;Alicante;10;Comunidad Valenciana;Este;1885559;5817
4;Almería;1;Andalucía;Sur;715665;8775
5;Ávila;7;Castilla y León;Oeste;158895;8050
6;Badajoz;11;Extremadura;Oeste;670903;21766
7;Illes Balears;4;Illes Balears;Este;1210725;4992
8;Barcelona;9;Cataluña;Este;5635100;7728
9;Burgos;7;Castilla y León;Oeste;355693;14292
10;Cáceres;11;Extremadura;Oeste;391076;19868
11;Cádiz;1;Andalucía;Sur;1254728;7440
12;Castellón;10;Comunidad Valenciana;Este;574936;6662
13;Ciudad Real;8;Castilla-La Mancha;Centro;494178;19813
14;Córdoba;1;Andalucía;Sur;784292;13771
15;A Coruña;12;Galicia;Norte;1123550;7951
16;Cuenca;8;Castilla-La Mancha;Centro;199834;17140
17;Girona;9;Cataluña;Este;767294;5910
18;Granada;1;Andalucía;Sur;925160;12647
19;Guadalajara;8;Castilla-La Mancha;Centro;262409;12214
20;Gipuzkoa;16;País Vasco;Norte;716552;1980
21;Huelva;1;Andalucía;Sur;528177;10128
22;Huesca;2;Aragón;Este;220607;15636
23;Jaén;1;Andalucía;Sur;629036;13496
24;León;7;Castilla y León;Oeste;459236;15581
25;Lleida;9;Cataluña;Este;435563;12172
26;La Rioja;17;La Rioja;Norte;315931;5045
27;Lugo;12;Galicia;Norte;328169;9856
28;Madrid;13;Comunidad de Madrid;Centro;6747068;8028
29;Málaga;1;Andalucía;Sur;1683505;7306
30;Murcia;14;Región de Murcia;Sur;1504869;11314
31;Navarra;15;Navarra;Norte;656509;10391
32;Ourense;12;Galicia;Norte;306872;7273
33;Asturias;3;Asturias;Norte;1018899;10604
34;Palencia;7;Castilla y León;Oeste;159906;8052
35;Las Palmas;5;Islas Canarias;Sur;1151178;4066
36;Pontevedra;12;Galicia;Norte;944001;4495
37;Salamanca;7;Castilla y León;Oeste;331081;12350
38;S.C.Tenerife;5;Islas Canarias;Sur;1085815;3381
39;Cantabria;6;Cantabria;Norte;582388;5321
40;Segovia;7;Castilla y León;Oeste;154205;6921
41;Sevilla;1;Andalucía;Sur;1957520;14036
42;Soria;7;Castilla y León;Oeste;89892;10306
43;Tarragona;9;Cataluña;Este;814391;6303
44;Teruel;2;Aragón;Este;133300;14810
45;Toledo;8;Castilla-La Mancha;Centro;699258;15370
46;Valencia;10;Comunidad Valenciana;Este;2568846;10776
47;Valladolid;7;Castilla y León;Oeste;520737;8111
48;Bizkaia;16;País Vasco;Norte;1142713;2217
49;Zamora;7;Castilla y León;Oeste;171661;10561
50;Zaragoza;2;Aragón;Este;976427;17274
51;Ceuta;18;Ceuta;Sur;84085;20
52;Melilla;19;Melilla;Sur;84473;12
